title,year,synopsis,critic_score,people_score,consensus,total_reviews,total_ratings,rating,genre,language,director,producer,writer,theater_release,streaming_release,gross_usa,runtime,production_co,crew,link
Finding Vivian Maier,2013,"The life and work of career nanny Vivian Maier and her amazing collection of 100,000 photographs.",95,89,"Narratively gripping, visually striking, and ultimately thought-provoking, Finding Vivian Maier shines an overdue spotlight on its subject's long-hidden brilliance.",102,"5,000+",unknown,"mystery and thriller, documentary, biography",English,"John Maloof, Charlie Siskel","John Maloof, Charlie Siskel","John Maloof, Charlie Siskel",2014-03-28,2016-12-05,1500000,83,Ravine Pictures,"John Maloof, Phil Donahue, Howard Greenberg, Mary Ellen Mark, Joel Meyerowitz, Tim Roth, John Maloof, Charlie Siskel, John Maloof, Charlie Siskel, Jeff Garlin, John Maloof, Charlie Siskel, J. Ralph, Aaron Wickenden",http://www.rottentomatoes.com/m/finding_vivian_maier
Winged Migration,2001,"This documentary presents an epic portrait of winter bird migration. Filmed on all seven continents over four years, the footage is brought together into one portrait of a journey that's uniformly arduous for all kinds of different birds. Rather than concentrating on statistics and facts, the film near-wordlessly portrays the sheer physical effort demanded of the birds on their disparate routes. Along the way, we see the many dangers they face, from man-made waste to a group of hungry crabs.",95,87,A marvel to watch.,133,"5,000+",G,documentary,French,Jacques Perrin,"Christophe Barratier, Jacques Perrin","Stéphane Durand, Jacques Perrin, Francis Roux",,2012-05-01,10800000,91,Bac Films,"Jacques Perrin, Jacques Perrin, Jacques Cluzard, Michel Debats, Jacques Perrin, Francis Roux, Christophe Barratier, Jacques Perrin, Jean de Trégomain",http://www.rottentomatoes.com/m/winged_migration
Sicko,2007,"Filmmaker Michael Moore examines America's health-care crisis and why millions of citizens are without coverage. Moore spotlights the cases of several ordinary citizens whose lives have been shattered by bureaucratic red tape, refusal of payment, and other health-care catastrophes. He explains how the system has become so problematic, and he visits countries where citizens receive free health care, as in Canada, France and the U.K..",91,87,"Driven by Michael Moore's sincere humanism, Sicko is a devastating, convincing, and very entertaining documentary about the state of America's health care.",219,"250,000+",PG-13,documentary,English,Michael Moore,"Michael Moore, Meghan O'Hara",Michael Moore,2007-06-29,2016-08-10,24500000,113,Dog Eat Dog Films,"Tucker Albrizzi, Tony Benn, Aleida Guevara, Reggie Cervantes, Patrick Pedraja, Linda Peeno, William Maher, Meghan O'Hara, Christopher Seward, Geoffrey Richman",http://www.rottentomatoes.com/m/sicko
Sweetgrass,2009,"This spare documentary follows a group of shepherds as they guide hundreds of sheep through endless miles of Montana wilderness. Herding the livestock through the Beartooth Mountains, the crew covers stunning landscapes as they brave dangerous weather and the threat of various wild animals, including bears and wolves. As the shepherds make their journey, the film depicts the hardships that they face in their age-old occupation, which seems largely outmoded in 21st-century United States.",97,65,"At once tender and unsentimental, Sweetgrass gracefully captures the beauty and hardships of a dying way of life.",64,500+,unknown,documentary,English,"Lucien Castaing-Taylor, Illisa Barbash",Ilisa Barbash,unknown,2010-01-06,2020-04-17,206700,102,unknown,"Lucien Castaing-Taylor, Ilisa Barbash",http://www.rottentomatoes.com/m/sweetgrass
A Film Unfinished,2009,"Israeli director Yael Hersonski examines a recently found film reel from an unfinished Nazi movie entitled ""Das Ghetto"" in this award-winning documentary. For decades, historians have relied on ""Das Ghetto"" as a portrayal of life in occupied Warsaw and this new footage provides rare insights into one of the biggest propaganda machines of all time. Hersonski uses personal journals and accounts as well as an interview with a surviving cameraman to re-examine this dark cinematic relic.",97,86,"A heartbreaking, haunting historical document, A Film Unfinished excavates particularly horrible chapter of Holocaust history, and in doing so, the film provides a glimpse into the Nazi propaganda machine.",65,"1,000+",unknown,documentary,German,Yael Hersonski,"Itai Ken-Tor, Noemi Schory",Yael Hersonski,,2016-08-10,311500,89,unknown,"Yael Hersonski, Yael Hersonski, Noemi Schory, Joel Alexis",http://www.rottentomatoes.com/m/film_unfinished
"Bigger, Stronger, Faster",2008,"This documentary presents the pervasive use of steroids in sports as an indication of the American obsession with winning at all costs. The Bell brothers have been sucked into the world of performance-enhancing drugs, thinking this is their ticket to realizing the American dream. Interviews with politicians, doctors, bodybuilders and coaches raise the question: Do the ends really justify the means? Because in the mad dash to win, an entire culture may be poised to lose.",96,81,"Bigger, Stronger, Faster* is a fascinating, informative, entertaining and especially introspective account of the American 'enhancement' culture.",76,"100,000+",PG-13,documentary,English,Christopher Bell,"Alexander Buono, Jim Czarnecki, Dave Wein","Christopher Bell, Alexander Buono",2008-05-30,2016-11-30,307800,105,unknown,"Alexander Buono, Alexander Buono, Jim Czarnecki",http://www.rottentomatoes.com/m/bigger_stronger_faster_asterisk
Trouble the Water,2008,"As Hurricane Katrina raged around them, Scott and Kimberly Rivers Roberts took shelter with some neighbors in their attic in New Orleans' Ninth Ward. Kimberly, an aspiring rapper, brought her video camera and filmed herself, her husband and their friends before and during the devastating storm. This footage is at the heart of Tia Lessin and Carl Deal's documentary about the Hurricane Katrina tragedy, along with the filmmakers' own footage of Kimberly and Scott rebuilding their lives afterwards.",96,86,This incredible documentary displays the tragedy and mismanagement of Katrina along with the heroism of strangers and survivors.,76,"1,000+",unknown,documentary,English,Carl Deal,Carl Deal,unknown,2008-08-22,2016-09-03,520000,93,Elsewhere Films,"Carl Deal, David Alcaro, Joslyn Barnes, Carl Deal, Danny Glover",http://www.rottentomatoes.com/m/trouble_the_water
"Food, Inc.",2008,"Documentary filmmaker Robert Kenner examines how mammoth corporations have taken over all aspects of the food chain in the United States, from the farms where our food is grown to the chain restaurants and supermarkets where it's sold. Narrated by author and activist Eric Schlosser, the film features interviews with average Americans about their dietary habits, commentary from food experts like Michael Pollan and unsettling footage shot inside large-scale animal processing plants.",95,86,"An eye-opening expose of the modern food industry, Food, Inc. is both fascinating and terrifying, and essential viewing for any health-conscious citizen.",114,"50,000+",PG,documentary,English,Robert Kenner,"Robert Kenner, Elise Pearlstein","Robert Kenner, Elise Pearlstein",2009-06-12,2016-12-05,4400000,94,Magnolia Pictures,"Eric Schlosser, Michael Pollan, Joel Salatin, Gary Hirshberg, Richard Lobb, Carole Morison, Barbara Kowalcyk, Patricia Buck, Robert Kenner, Robert Kenner, Elise Pearlstein, William Pohlad, Robin Schorr, Robert Kenner, Elise Pearlstein, Richard Pearce, Mark Adler",http://www.rottentomatoes.com/m/food_inc
Chasing Ice,2012,James Balog and his team on the Extreme Ice Survey assemble a multiyear chronicle of the planet's rapidly melting glaciers.,96,85,"Chasing Ice captures the urgency of climate change while prevailing as entertainment, thanks the awe-inspiring scenery and James Balog's charisma.",72,"10,000+",PG-13,"documentary, biography",English,Jeff Orlowski,"Jerry Aronson, Paula Dupré Pesmen, Jeff Orlowski",Mark Monroe,2012-11-09,2016-08-10,,74,"Diamond Docs, Exposure","James Woolsey, James Balog, Louie Psihoyos, Jeff Orlowski, Synte Peacock, Jeff Orlowski, Mark Monroe, David J. Cornfield, Linda A. Cornfield, Jerry Aronson, Paula Dupré Pesmen, Jeff Orlowski, J. Ralph, Jeff Orlowski, Davis Coombe",http://www.rottentomatoes.com/m/chasing_ice_2012
To Be and to Have,2002,"In rural France, schoolteacher Georges Lopez educates 12 children, whose ages range from 4 to 11 years old. Over the course of a year, the soon-to-retire Lopez instructs them all in one small classroom with the traditional tools of French teaching: rote repetition and the dictation of literary passages for copying. As the seasons pass, Lopez must keep his students disciplined while preparing the older children for the exams that will determine their educational future.",97,91,"A small, sensitive, and moving portrait of a teacher and his students.",59,"5,000+",unknown,documentary,French,Nicolas Philibert,Gilles Sandoz,unknown,2003-09-05,2008-05-01,775600,105,Canal Plus Image International,"Alizé, Guillaume, Johann, Julien, Létitia, Georges Lopez, Nicolas Philibert, Gilles Sandoz, Serge Lalou, Philippe Hersant, Laurent Didier, Katell Djian, Hugues Gemignani, Nicolas Philibert, Nicolas Philibert, Isabelle Pailley Sandoz",http://www.rottentomatoes.com/m/to_be_and_to_have
The Salt of the Earth,2014,"Juliano Ribeiro Salgado co-directs a look at the career of his father, photographer Sebastião Salgado.",95,90,"While the work it honors may pose thorny ethical questions that Salt of the Earth neglects to answer, it remains a shattering, thought-provoking testament to Sebastião Salgado's career.",94,"5,000+",PG-13,documentary,French,"Wim Wenders, Juliano Ribeiro Salgado",David Rosier,"Juliano Ribeiro Salgado, Wim Wenders, David Rosier",2015-03-27,2016-08-10,1100000,109,Région Ile-de-France,"Sebastião Salgado, Wim Wenders, Juliano Ribeiro Salgado, Hugo Barbier, Jacques Barthélémy, Wim Wenders, Juliano Ribeiro Salgado, Juliano Ribeiro Salgado, Wim Wenders, David Rosier, David Rosier, Wim Wenders, Hugo Barbier, Juliano Ribeiro Salgado, Maxine Goedicke",http://www.rottentomatoes.com/m/the_salt_of_the_earth
The Wild Parrots of Telegraph Hill,2004,"A homeless musician's life is transformed after he discovers a flock of wild South American parrots living in San Francisco. How they got there is a mystery, but Mark Bittner forms a bond with the exotic birds through his music and his patient, attentive care. Over time he comes to appreciate their individual identities and makes a case for humans to reevaluate their relationship to animals. When he is forced to leave them, he despairs over the birds' fate.",95,85,Interesting and appealing as both a study of man and nature.,101,"5,000+",G,documentary,English,Judy Irving,Judy Irving,unknown,,2016-08-17,,83,unknown,"Judy Irving, Judy Irving",http://www.rottentomatoes.com/m/wild_parrots_of_telegraph_hill
The Gatekeepers,2012,"Six former heads of Israel's secret service agency, the Shin Bet, discuss their organization's successes and failures since the Six Day War in 1967.",94,79,"Strikingly stark, brutally honest, and rivetingly assembled, The Gatekeepers offers essential perspective on a seemingly intractable war from some of the men who fought it.",112,"10,000+",PG-13,documentary,Hebrew,Dror Moreh,"Dror Moreh, Estelle Fialon, Philippa Kowarsky",unknown,2013-02-01,2014-05-17,2400000,96,"Cinephil, Les Films du Poisson","Ami Ayalon, Avi Dichter, Dror Moreh, Dror Moreh, Estelle Fialon, Philippa Kowarsky",http://www.rottentomatoes.com/m/the_gatekeepers_2012
Control Room,2004,"Filmmaker Jehane Noujaim provides a behind-the-scenes look at the operations of Al-Jazeera -- the most prominent television news network in the Arab world -- during the war in Iraq. Through interviews with American journalists, journalists reporting for Al-Jazeera, and high-ranking U.S. military officials, Noujaim explores the nature of media bias, Al-Jazeera's relationship with the Arab community and the network's perception in the Western world.",95,87,"A fascinating, enlightening behind-the-scenes look at the Al Jazeera network.",111,"5,000+",unknown,documentary,Arabic,Jehane Noujaim,"Rosadel Varela, Hani Salama","Julia Bacha, Jehane Noujaim",,2017-06-15,2600000,85,unknown,"Josh Rushing, Tom Mintier, Jehane Noujaim, Julia Bacha, Jehane Noujaim, Abdullah Schleifer, Rosadel Varela, Rosadel Varela, Hani Salama, Bent-Jorgen Perlmutt, Julia Bacha",http://www.rottentomatoes.com/m/control_room
Bus 174,2002,"A young Brazilian hijacks a bus in Rio de Janeiro to rob its passengers. When he holds the entire bus hostage, the press broadcasts it live. This documentary chronicles the incompetent response by police officers to the public event inspired nationwide protest. Included are details about the captor's harsh childhood after witnessing his mother's murder. His homelessness provides but one example of the tragic social and political indifference for urban poverty in modern Brazil.",96,90,Bus 174 uses real-life tragedy as the grist for a gripping -- and terribly thought-provoking -- look at societal tensions and police violence.,79,"5,000+",R,documentary,Portuguese,"José Padilha, Felipe Lacerda",José Padilha,unknown,,2004-07-20,216200,133,Zazen Producoes,"Sandro do Nascimento, Rodrigo Pimentel, Luiz Eduardo Soares, Maria Aparecida, Felipe Lacerda, Rodrigo Pimentel, Cezar Moraes, Felipe Lacerda, Felipe Lacerda",http://www.rottentomatoes.com/m/bus_174
Touching the Void,2003,"In 1985, two young climbers, Joe Simpson (Brendan Mackey) and Simon Yates (Nicholas Aaron), set out to be the first to reach the summit of the Siula Grande in the Peruvian Andes. They succeed, and the two embark on the treacherous descent down the mountain -- only to meet with disaster when Simpson breaks his leg in a fall, leaving Yates to lower him the rest of the way with ropes. When a storm threatens both their lives, Yates must decide whether to cut the rope and risk Simpson's likely death.",94,92,Gripping even though the outcome is known.,140,"10,000+",R,"drama, adventure",English,Kevin Macdonald,John Smithson,unknown,,2017-02-15,4600000,107,Darlow Smithson Productions,"Brendan Mackey, Nicholas Aaron, Richard Hawking, Joe Simpson, Simon Yates, Ollie Ryall, Kevin Macdonald, John Smithson",http://www.rottentomatoes.com/m/touching_the_void
My Winnipeg,2007,"Canadian filmmaker Guy Maddin conducts a personal tour of Winnipeg, Manitoba, the town where he grew up and still lives, in a film he calls a ""docu-fantasia."" By combining archival footage and interviews, dreamlike camera work and recreated scenes -- including several with actress Ann Savage playing the part of Maddin's mother -- the filmmaker builds a portrait of Winnipeg that manages to be historical, intimate, surreal, entertaining and entirely his own.",95,77,My Winnipeg is a charmingly irreverent 'docu-fantasy' from the unpredictable mind of Guy Maddin.,92,"2,500+",unknown,"comedy, drama, documentary",English,Guy Maddin,"Jody Shapiro, Phyllis Lang","Guy Maddin, George Toles",2008-06-13,2016-11-18,156600,80,unknown,"Guy Maddin, Ann Savage, Louis Negin, Amy Stewart, Darcy Fehr, Kate Yacula, Guy Maddin, Guy Maddin, George Toles, Michael Burns, Jody Shapiro, John Gurdebeke",http://www.rottentomatoes.com/m/1195800-my_winnipeg
